"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","147","Contentful schema validation: controlledValueSet","Contentfultest","2026-02-03","passed","2026-02-03","@contentful Contentful schema validation","backend/contentful-schema.test.ts","",""
"","185","Contentful schema validation: person","Contentfultest","2026-02-03","passed","2026-02-03","@contentful Contentful schema validation","backend/contentful-schema.test.ts","",""
"","0","Page Load validation:","Contentfultest","2026-02-03","skipped","2026-02-03","@contentful Contentful schema validation","backend/contentful-schema.test.ts","",""
"","1","@contentful Content validation – taxonomy - strategy","Contentfultest","2026-02-03","skipped","2026-02-03","","backend/contentful-taxonomymigration.test.ts","",""
"","326","Contentful schema validation: article","Contentfultest","2026-02-03","passed","2026-02-03","@contentful Contentful schema validation","backend/contentful-schema.test.ts","",""
"","1045","@contentful Content validation – taxonomy – Industry","Contentfultest","2026-02-03","passed","2026-02-03","","backend/contentful-taxonomymigration.test.ts","",""
"","1714","@contentful Content validation – taxonomy – Strategy","Contentfultest","2026-02-03","passed","2026-02-03","","backend/contentful-taxonomymigration.test.ts","",""
"","2064","@contentful Content validation – taxonomy – Sector","Contentfultest","2026-02-03","passed","2026-02-03","","backend/contentful-taxonomymigration.test.ts","",""
"","151","Contentful schema validation: controlledValue","Contentfultest","2026-02-03","passed","2026-02-03","@contentful Contentful schema validation","backend/contentful-schema.test.ts","",""
"","206","Contentful schema validation: taxonomySet","Contentfultest","2026-02-03","passed","2026-02-03","@contentful Contentful schema validation","backend/contentful-schema.test.ts","",""
"","1765","@contentful Content validation – taxonomy – People Type","Contentfultest","2026-02-03","passed","2026-02-03","","backend/contentful-taxonomymigration.test.ts","",""
"","166","Contentful schema validation: globalFooter","Contentfultest","2026-02-03","failed","2026-02-03","@contentful Contentful schema validation","backend/contentful-schema.test.ts","",""
"","160","Contentful schema validation: taxonomyTerm","Contentfultest","2026-02-03","passed","2026-02-03","@contentful Contentful schema validation","backend/contentful-schema.test.ts","",""
"","187","@contentful Content validation – taxonomy – Topic","Contentfultest","2026-02-03","failed","2026-02-03","","backend/contentful-taxonomymigration.test.ts","",""
"","175","Contentful schema validation: secFiling","Contentfultest","2026-02-03","passed","2026-02-03","@contentful Contentful schema validation","backend/contentful-schema.test.ts","",""
"","200","Contentful schema validation: internalLink","Contentfultest","2026-02-03","failed","2026-02-03","@contentful Contentful schema validation","backend/contentful-schema.test.ts","",""
"","162","Contentful schema validation: eventMaterial","Contentfultest","2026-02-03","passed","2026-02-03","@contentful Contentful schema validation","backend/contentful-schema.test.ts","",""
"","152","Contentful schema validation: assetLink","Contentfultest","2026-02-03","passed","2026-02-03","@contentful Contentful schema validation","backend/contentful-schema.test.ts","",""
"","279","Contentful schema validation: investment","Contentfultest","2026-02-03","passed","2026-02-03","@contentful Contentful schema validation","backend/contentful-schema.test.ts","",""
"","1464","@contentful Content validation – taxonomy – Business Groups","Contentfultest","2026-02-03","failed","2026-02-03","","backend/contentful-taxonomymigration.test.ts","",""
